SOURCE_SYSTEM_CODE,SOURCE_FEED_CODE,STAGE_NAME,SOURCE_FILE_PATH,SOURCE_FILE_NAME_PATTERN,DESTINATION_SCHEMA_NAME,DESTINATION_TABLE_NAME,IS_ENABLED,FILE_FORMAT,DATE_INPUT_FORMAT,TIMESTAMP_INPUT_FORMAT,SKIP_ROW_ON_ERROR,DELETE_STAGE_BY_FILE_NAME,TIMEZONE
Bloomberg,BloombergETOptionsIPV,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,BLOOMBERG_ET_OPTIONS_IPV,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,BloombergIPVPrices,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,BLOOMBERG_IPV_PRICES,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,BondIssuerStatic,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,BOND_ISSUER_STATIC,FALSE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,BondStatic,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,BOND_STATIC,TRUE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,EquityStatic,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,EQUITY_STATIC,TRUE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,InstrumentResponse_BondStatic,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,BOND_STATIC,TRUE,PIPE_FORMAT_NO_ENCLOSE,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,InstrumentResponse_EquityStatic,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,EQUITY_STATIC,TRUE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,InstrumentResponse_OrganisationStatic,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,ORGANISATION_STATIC,TRUE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,MIWAVE,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,MIWAVE,FALSE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,SalesTrades,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,SALES_TRADES,FALSE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,corp_volcker_cb,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,CORP_VOLCKER_CB,TRUE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,equity_volcker_etp,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,EQUITY_VOLCKER_ETP,TRUE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,mtge_volcker_cdo,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,MTGE_VOLCKER_CDO,TRUE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,mtge_volcker_clo,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,MTGE_VOLCKER_CLO,TRUE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,mtge_volcker_securitized,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,MTGE_VOLCKER_SECURITIZED,TRUE,PIPE_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
